Country,2023 SDG Index Score,2023 SDG Index Rank,Regions used for the SDR,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Canada,78.5,26,OECD,green,↑,red,→,orange,➚,green,➚,orange,➚,yellow,→,yellow,→,orange,➚,yellow,➚,yellow,➚,yellow,→,red,→,red,➚,orange,➚,red,→,orange,→,orange,➚
New Zealand,78.4,27,OECD,grey,,red,→,yellow,➚,yellow,→,green,↑,orange,➚,yellow,→,yellow,➚,orange,➚,orange,→,yellow,➚,red,→,red,➚,red,→,red,→,orange,→,red,➚
Greece,78.4,28,OECD,yellow,➚,orange,→,yellow,➚,orange,→,orange,→,yellow,↑,orange,➚,orange,➚,orange,➚,yellow,↑,orange,➚,red,↓,orange,➚,red,➚,orange,➚,orange,→,orange,➚
Iceland,78.3,29,OECD,green,↑,red,→,yellow,➚,yellow,→,yellow,➚,red,➚,green,↑,orange,→,orange,➚,green,,orange,➚,red,→,red,→,orange,➚,red,→,green,➚,yellow,↑
Chile,78.2,30,OECD,orange,→,red,→,yellow,➚,orange,➚,yellow,↑,yellow,↑,yellow,➚,orange,→,red,➚,red,↓,orange,➚,orange,→,red,→,orange,→,red,→,orange,↓,yellow,➚
"Korea, Rep.",78.1,31,OECD,yellow,➚,orange,→,yellow,➚,yellow,➚,red,➚,orange,➚,orange,➚,yellow,→,yellow,➚,orange,➚,yellow,➚,red,➚,orange,➚,red,→,red,↓,yellow,➚,red,➚
Uruguay,77.7,32,LAC,green,↑,orange,→,orange,➚,yellow,→,yellow,➚,orange,↑,green,➚,orange,➚,orange,➚,red,↓,yellow,↑,red,→,yellow,→,red,→,red,→,red,➚,yellow,↑
Luxembourg,77.6,33,OECD,yellow,↑,red,→,yellow,➚,orange,→,yellow,↑,orange,→,orange,➚,yellow,➚,orange,→,yellow,→,yellow,↑,red,→,red,➚,grey,,red,➚,yellow,→,red,➚
Belarus,77.5,34,E. Europe & C. Asia,green,↑,orange,→,orange,➚,yellow,↓,yellow,➚,yellow,➚,red,➚,red,→,orange,➚,green,↑,orange,➚,orange,→,red,→,grey,,green,➚,red,→,yellow,➚
Romania,77.5,35,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,yellow,→,red,➚,orange,↑,yellow,→,yellow,➚,orange,➚,orange,➚,yellow,➚,orange,→,orange,↓,yellow,➚,orange,→,orange,→,orange,➚
